,off_passing_Team,off_passing_Att,off_passing_Cmp,off_passing_Cmp %,off_passing_Yds/Att,off_passing_Pass Yds,off_passing_TD,off_passing_INT,off_passing_Rate,off_passing_1st,off_passing_1st%,off_passing_20+,off_passing_40+,off_passing_Lng,off_passing_Sck,off_passing_SckY,off_rushing_Team,off_rushing_Att,off_rushing_Rush Yds,off_rushing_YPC,off_rushing_TD,off_rushing_20+,off_rushing_40+,off_rushing_Lng,off_rushing_Rush 1st,off_rushing_Rush 1st%,off_rushing_Rush FUM,off_receiving_Team,off_receiving_Rec,off_receiving_Yds,off_receiving_Yds/Rec,off_receiving_TD,off_receiving_20+,off_receiving_40+,off_receiving_Lng,off_receiving_Rec 1st,off_receiving_Rec 1st%,off_receiving_Rec FUM,off_scoring_Team,off_scoring_Rsh TD,off_scoring_Rec TD,off_scoring_Tot TD,off_scoring_2-PT,off_downs_Team,off_downs_3rd Att,off_downs_3rd Md,off_downs_4th Att,off_downs_4th Md,off_downs_Rec 1st,off_downs_Rec 1st%,off_downs_Rush 1st,off_downs_Rush 1st%,off_downs_Scrm Plys,def_passing_Team,def_passing_Att,def_passing_Cmp,def_passing_Cmp %,def_passing_Yds/Att,def_passing_Yds,def_passing_TD,def_passing_INT,def_passing_Rate,def_passing_1st,def_passing_1st%,def_passing_20+,def_passing_40+,def_passing_Lng,def_passing_Sck,def_rushing_Team,def_rushing_Att,def_rushing_Rush Yds,def_rushing_YPC,def_rushing_TD,def_rushing_20+,def_rushing_40+,def_rushing_Lng,def_rushing_Rush 1st,def_rushing_Rush 1st%,def_rushing_Rush FUM,def_receiving_Team,def_receiving_Rec,def_receiving_Yds,def_receiving_Yds/Rec,def_receiving_TD,def_receiving_20+,def_receiving_40+,def_receiving_Lng,def_receiving_Rec 1st,def_receiving_Rec 1st%,def_receiving_Rec FUM,def_receiving_PDef,def_scoring_Team,def_scoring_FR TD,def_scoring_SFTY,def_scoring_INT TD,def_downs_Team,def_downs_3rd Att,def_downs_3rd Md,def_downs_4th Att,def_downs_4th Md,def_downs_Rec 1st,def_downs_Rec 1st%,def_downs_Rush 1st,def_downs_Rush 1st%,def_downs_Scrm Plys,def_tackles_Team,def_tackles_Sck,def_tackles_Comb,def_tackles_Asst,def_tackles_Solo,def_fumbles_Team,def_fumbles_FF,def_fumbles_FR,def_fumbles_FR TD,def_fumbles_Rec FUM,def_fumbles_Rush FUM,def_interceptions_Team,def_interceptions_INT,def_interceptions_INT TD,def_interceptions_INT Yds,def_interceptions_Lng,st_field-goals_Team,st_field-goals_FGM,st_field-goals_Att,st_field-goals_FG %,st_field-goals_1-19 > A-M,st_field-goals_20-29 > A-M,st_field-goals_30-39 > A-M,st_field-goals_40-49 > A-M,st_field-goals_50+ > A-M,st_field-goals_Lng,st_field-goals_FG Blk,st_scoring_Team,st_scoring_FGM,st_scoring_FG %,st_scoring_XPM,st_scoring_XP Pct,st_scoring_KRet TD,st_scoring_PRet T,st_kickoffs_Team,st_kickoffs_KO,st_kickoffs_Yds,st_kickoffs_TB,st_kickoffs_TB %,st_kickoffs_Ret,st_kickoffs_Ret Avg,st_kickoffs_OSK,st_kickoffs_OSK Rec,st_kickoffs_OOB,st_kickoffs_TD,st_punting_Team,st_punting_Net Avg,st_punting_Net Yds,st_punting_Punts,st_punting_Avg,st_punting_Lng,st_punting_Yds,st_punting_IN 20,st_punting_OOB,st_punting_Dn,st_punting_TB,st_punting_FC,st_punting_Ret,st_punting_RetY,st_punting_TD,st_punting_P Blk,st_punt-returns_Team,st_punt-returns_Avg,st_punt-returns_Ret,st_punt-returns_Yds,st_punt-returns_PRet T,st_punt-returns_20+,st_punt-returns_40+,st_punt-returns_Lng,st_punt-returns_FC,st_punt-returns_FUM,st_punt-returns_P Blk,Year
7,Eagles  Eagles,484,279,57.6,6.8,3273,17,11,80.5,156,32.2,45,9,59,43,253,Eagles  Eagles,417,2015,4.8,23,15,3,64T,105,25.2,8,Eagles  Eagles,279,3273,11.7,17,45,9,59,156,55.9,3,Eagles  Eagles,23,17,43,0,Eagles  Eagles,190,69,7,3,156,55.9,105,25.2,944,Eagles  Eagles,559,337,60.3,6.2,3236,17,13,78.7,171,30.6,38,6,60T,38,Eagles  Eagles,461,2071,4.5,13,12,3,76T,116,25.2,7,Eagles  Eagles,337,3484,10.3,17,38,6,60T,171,50.7,6,209,Eagles  Eagles,0,1,1,Eagles  Eagles,221,78,22,8,171,50.7,116,25.2,1058,Eagles  Eagles,43,932,187,696,Eagles  Eagles,24,13,0,6,7,Eagles  Eagles,13,1,158,34,Eagles  Eagles,24,29,82.8,0_0,9_9,7_7,10_6,3_2,57,1,Eagles  Eagles,24,82.8,42,100.0,0,2,Eagles  Eagles,83,5251,8,9.6,74,21.5,1,0,1,1,Eagles  Eagles,34.6,2735,79,40.6,60,3207,27,8,11,10,15,35,272,0,0,Eagles  Eagles,12.2,31,378,2,2,2,84T,24,3,1,2003
8,Jets  Jets,496,312,62.9,7.1,3524,20,14,85.8,181,36.5,44,8,65T,31,208,Jets  Jets,409,1635,4.0,8,8,1,56,78,19.1,6,Jets  Jets,312,3524,11.3,20,44,8,65T,181,58.0,3,Jets  Jets,8,20,29,1,Jets  Jets,206,82,13,6,181,58.0,78,19.1,936,Jets  Jets,455,281,61.8,7.1,3025,14,11,83.4,168,36.9,46,5,59T,35,Jets  Jets,542,2294,4.2,17,9,0,31T,134,24.7,6,Jets  Jets,281,3243,11.5,14,46,5,59T,168,59.8,0,163,Jets  Jets,0,1,0,Jets  Jets,207,84,22,10,168,59.8,134,24.7,1032,Jets  Jets,31,1084,278,578,Jets  Jets,15,9,0,0,6,Jets  Jets,11,0,155,39,Jets  Jets,27,32,84.4,0_0,5_5,15_15,8_7,4_0,48,1,Jets  Jets,27,84.4,24,100.0,1,0,Jets  Jets,72,4312,1,1.4,71,21.1,0,0,0,0,Jets  Jets,31.3,2253,71,36.9,55,2655,22,6,13,4,26,22,322,1,1,Jets  Jets,11.1,30,332,0,4,1,47,18,2,0,2003
9,Giants  Giants,616,344,55.8,5.9,3642,16,20,68.4,184,29.9,35,8,77T,44,259,Giants  Giants,387,1559,4.0,6,6,0,27,90,23.3,9,Giants  Giants,344,3642,10.6,16,35,8,77T,184,53.5,6,Giants  Giants,6,16,26,2,Giants  Giants,218,73,17,2,184,53.5,90,23.3,1047,Giants  Giants,519,309,59.5,7.1,3412,25,10,89.5,178,34.3,59,3,64,45,Giants  Giants,496,1908,3.8,12,12,2,68T,102,20.6,7,Giants  Giants,309,3710,12.0,25,59,3,64,178,57.6,4,200,Giants  Giants,2,0,2,Giants  Giants,225,85,11,5,178,57.6,102,20.6,1060,Giants  Giants,44,1096,245,648,Giants  Giants,29,12,2,4,7,Giants  Giants,10,2,199,56T,Giants  Giants,20,27,74.1,0_0,8_6,11_9,8_5,0_0,47,1,Giants  Giants,20,74.1,23,100.0,0,0,Giants  Giants,61,3687,2,3.3,56,20.1,1,0,2,0,Giants  Giants,33.9,3089,90,40.0,59,3641,31,16,8,6,20,40,432,2,1,Giants  Giants,5.1,32,163,0,0,0,15,15,4,2,2003
10,Saints  Saints,535,314,58.7,6.8,3641,25,8,88.7,177,33.1,36,7,76T,36,203,Saints  Saints,448,2000,4.5,11,17,3,76T,100,22.3,12,Saints  Saints,314,3641,11.6,25,36,7,76T,177,56.4,5,Saints  Saints,11,25,39,1,Saints  Saints,229,106,19,5,177,56.4,100,22.3,1019,Saints  Saints,485,264,54.4,6.5,2993,20,14,76.3,165,34.0,38,2,79T,32,Saints  Saints,480,2241,4.7,12,16,4,69T,109,22.7,9,Saints  Saints,264,3164,12.0,20,38,2,79T,165,62.5,6,207,Saints  Saints,0,1,2,Saints  Saints,208,79,16,9,165,62.5,109,22.7,997,Saints  Saints,36,1055,184,717,Saints  Saints,29,13,0,6,9,Saints  Saints,14,2,226,73T,Saints  Saints,22,30,73.3,0_0,6_6,12_10,9_5,3_1,50,1,Saints  Saints,22,73.3,36,97.3,0,0,Saints  Saints,73,4538,3,4.1,67,23.7,3,1,1,2,Saints  Saints,38.2,2750,71,43.7,59,3144,28,4,8,5,18,36,294,0,1,Saints  Saints,9.0,40,360,0,2,0,27,12,1,1,2003
11,Patriots  Patriots,537,320,59.6,6.8,3651,23,13,84.3,177,33.0,44,8,82T,32,219,Patriots  Patriots,473,1607,3.4,9,5,1,42,91,19.2,7,Patriots  Patriots,320,3651,11.4,23,44,8,82T,177,55.3,3,Patriots  Patriots,9,23,39,0,Patriots  Patriots,227,84,14,6,177,55.3,91,19.2,1042,Patriots  Patriots,618,328,53.1,5.6,3232,11,29,56.2,177,28.6,37,5,67,41,Patriots  Patriots,401,1434,3.6,10,2,0,23,91,22.7,6,Patriots  Patriots,328,3485,10.6,11,37,5,67,177,54.0,4,261,Patriots  Patriots,1,1,5,Patriots  Patriots,235,81,16,6,177,54.0,91,22.7,1060,Patriots  Patriots,32,1281,386,591,Patriots  Patriots,29,12,1,4,6,Patriots  Patriots,29,5,358,65T,Patriots  Patriots,25,34,73.5,0_0,17_16,8_4,8_5,1_0,48,1,Patriots  Patriots,25,73.5,37,97.4,1,0,Patriots  Patriots,80,5030,2,2.5,77,21.1,0,0,0,0,Patriots  Patriots,33.5,2946,87,37.1,52,3266,30,4,30,4,11,38,240,1,1,Patriots  Patriots,9.2,50,462,0,1,0,23,25,3,0,2003
12,Vikings  Vikings,520,333,64.0,8.0,4169,32,13,99.0,194,37.3,52,15,72T,42,218,Vikings  Vikings,493,2343,4.8,15,10,3,61,124,25.2,15,Vikings  Vikings,333,4169,12.5,32,52,15,72T,194,58.3,3,Vikings  Vikings,15,32,51,2,Vikings  Vikings,219,102,20,8,194,58.3,124,25.2,1055,Vikings  Vikings,531,311,58.6,7.0,3477,17,28,68.8,186,35.0,54,5,51,37,Vikings  Vikings,387,1879,4.9,22,15,5,73T,94,24.3,13,Vikings  Vikings,311,3722,12.0,17,54,5,51,186,59.8,3,192,Vikings  Vikings,0,2,4,Vikings  Vikings,182,70,14,6,186,59.8,94,24.3,955,Vikings  Vikings,42,1127,211,785,Vikings  Vikings,28,7,0,3,13,Vikings  Vikings,28,4,693,80T,Vikings  Vikings,18,25,72.0,0_0,7_7,8_6,7_4,3_1,51,0,Vikings  Vikings,18,72.0,48,100.0,0,0,Vikings  Vikings,82,4956,2,2.4,75,21.4,2,1,3,0,Vikings  Vikings,32.1,2052,63,38.5,55,2462,13,4,6,5,19,29,310,0,1,Vikings  Vikings,6.9,36,247,0,2,1,52,16,0,1,2003
13,Dolphins  Dolphins,450,257,57.1,6.7,3001,17,19,72.5,145,32.2,43,5,80T,31,209,Dolphins  Dolphins,487,1817,3.7,14,9,2,68T,99,20.3,6,Dolphins  Dolphins,257,3001,11.7,17,43,5,80T,145,56.4,6,Dolphins  Dolphins,14,17,35,0,Dolphins  Dolphins,205,67,10,5,145,56.4,99,20.3,968,Dolphins  Dolphins,529,319,60.3,6.8,3335,12,22,70.8,171,32.3,39,9,82T,44,Dolphins  Dolphins,441,1452,3.3,11,5,0,28,82,18.6,7,Dolphins  Dolphins,319,3588,11.2,12,39,9,82T,171,53.6,5,188,Dolphins  Dolphins,1,1,2,Dolphins  Dolphins,222,81,12,2,171,53.6,82,18.6,1014,Dolphins  Dolphins,31,1079,320,631,Dolphins  Dolphins,25,14,1,5,7,Dolphins  Dolphins,22,2,338,74T,Dolphins  Dolphins,22,29,75.9,0_0,9_9,6_3,8_6,6_4,52,1,Dolphins  Dolphins,22,75.9,33,97.1,0,0,Dolphins  Dolphins,74,4829,24,32.4,47,21.5,2,0,2,0,Dolphins  Dolphins,34.9,2929,84,39.0,57,3274,28,7,14,8,26,29,185,0,0,Dolphins  Dolphins,9.3,31,288,0,4,1,48,19,3,0,2003
14,Raiders  Raiders,521,278,53.4,5.7,2988,9,14,65.0,140,26.9,38,2,47T,43,237,Raiders  Raiders,423,1822,4.3,15,11,3,53,98,23.2,8,Raiders  Raiders,278,2988,10.7,9,38,2,47T,140,50.4,3,Raiders  Raiders,15,9,29,0,Raiders  Raiders,217,66,25,14,140,50.4,98,23.2,987,Raiders  Raiders,467,286,61.2,7.6,3394,21,14,87.3,159,34.0,52,16,65T,25,Raiders  Raiders,544,2510,4.6,21,15,3,55T,127,23.3,11,Raiders  Raiders,286,3556,12.4,21,52,16,65T,159,55.6,3,167,Raiders  Raiders,0,1,2,Raiders  Raiders,215,80,14,8,159,55.6,127,23.3,1036,Raiders  Raiders,43,1054,218,644,Raiders  Raiders,22,11,0,3,11,Raiders  Raiders,14,2,280,83T,Raiders  Raiders,22,25,88.0,0_0,6_6,6_6,10_9,3_1,55,1,Raiders  Raiders,22,88.0,28,96.6,1,2,Raiders  Raiders,66,4150,7,10.6,57,25.9,0,0,2,0,Raiders  Raiders,37.2,3574,96,46.9,73,4503,27,11,6,13,14,52,669,0,0,Raiders  Raiders,12.9,38,492,2,7,3,80T,14,4,2,2003
15,Rams  Rams,600,377,62.8,7.1,4287,23,23,81.0,211,35.2,64,6,48,43,326,Rams  Rams,411,1496,3.6,19,7,1,52,97,23.6,5,Rams  Rams,377,4287,11.4,23,64,6,48,211,56.0,4,Rams  Rams,19,23,47,0,Rams  Rams,216,92,15,7,211,56.0,97,23.6,1054,Rams  Rams,510,296,58.0,6.6,3072,23,24,73.3,164,32.2,43,6,77,42,Rams  Rams,412,1980,4.8,9,17,2,76T,92,22.3,9,Rams  Rams,296,3363,11.4,23,43,6,77,164,55.4,5,190,Rams  Rams,2,1,3,Rams  Rams,209,75,21,9,164,55.4,92,22.3,964,Rams  Rams,43,1062,138,804,Rams  Rams,31,22,2,5,9,Rams  Rams,24,3,505,74T,Rams  Rams,39,42,92.9,0_0,16_16,13_11,9_8,4_4,53,0,Rams  Rams,39,92.9,46,100.0,0,0,Rams  Rams,97,6316,12,12.4,83,23.9,1,1,1,2,Rams  Rams,32.9,1941,59,42.8,57,2525,14,4,6,5,12,32,484,2,0,Rams  Rams,8.6,39,337,0,3,1,44,11,9,2,2003
16,Chiefs  Chiefs,536,339,63.2,7.7,4113,24,12,92.4,201,37.5,55,8,67T,21,132,Chiefs  Chiefs,446,1929,4.3,32,11,0,39,120,26.9,2,Chiefs  Chiefs,339,4113,12.1,24,55,8,67T,201,59.3,2,Chiefs  Chiefs,32,24,63,0,Chiefs  Chiefs,201,84,10,6,201,59.3,120,26.9,1003,Chiefs  Chiefs,565,332,58.8,6.4,3363,19,25,70.5,184,32.6,48,5,77T,36,Chiefs  Chiefs,453,2344,5.2,18,16,6,65T,120,26.5,8,Chiefs  Chiefs,332,3614,10.9,19,48,5,77T,184,55.4,3,208,Chiefs  Chiefs,0,0,3,Chiefs  Chiefs,213,78,23,10,184,55.4,120,26.5,1054,Chiefs  Chiefs,21,983,124,763,Chiefs  Chiefs,21,12,0,3,8,Chiefs  Chiefs,25,3,310,79T,Chiefs  Chiefs,16,20,80.0,0_0,3_3,8_8,8_5,1_0,49,1,Chiefs  Chiefs,16,80.0,58,98.3,2,2,Chiefs  Chiefs,93,5840,6,6.5,87,23.5,0,0,0,0,Chiefs  Chiefs,33.2,2689,80,39.0,68,3156,21,3,14,7,18,38,327,1,1,Chiefs  Chiefs,16.4,33,542,2,9,4,93T,14,2,0,2003
17,Jaguars  Jaguars,515,303,58.8,6.6,3421,17,17,76.0,163,31.7,40,8,84T,28,136,Jaguars  Jaguars,481,2073,4.3,13,11,2,62,118,24.5,8,Jaguars  Jaguars,303,3421,11.3,17,40,8,84T,163,53.8,4,Jaguars  Jaguars,13,17,31,0,Jaguars  Jaguars,216,80,26,13,163,53.8,118,24.5,1024,Jaguars  Jaguars,510,303,59.4,6.6,3251,23,15,82.0,172,33.7,38,6,75T,24,Jaguars  Jaguars,442,1406,3.2,12,5,0,29T,84,19.0,10,Jaguars  Jaguars,303,3385,11.2,23,38,6,75T,172,56.8,6,192,Jaguars  Jaguars,1,0,0,Jaguars  Jaguars,218,92,14,7,172,56.8,84,19.0,976,Jaguars  Jaguars,28,1076,216,726,Jaguars  Jaguars,25,12,1,6,10,Jaguars  Jaguars,15,0,78,21,Jaguars  Jaguars,20,33,60.6,0_0,11_10,8_4,12_5,2_1,53,3,Jaguars  Jaguars,20,60.6,30,100.0,0,0,Jaguars  Jaguars,66,3742,3,4.5,58,21.2,3,0,1,0,Jaguars  Jaguars,33.5,2313,68,41.3,58,2853,13,10,9,6,3,40,420,0,1,Jaguars  Jaguars,11.1,34,376,0,6,2,52,18,1,0,2003
18,Colts  Colts,569,381,67.0,7.5,4289,29,10,99.0,212,37.3,45,9,79T,19,110,Colts  Colts,453,1695,3.7,16,5,1,43,104,23.0,11,Colts  Colts,381,4289,11.3,29,45,9,79T,212,55.6,5,Colts  Colts,16,29,48,1,Colts  Colts,217,91,17,11,212,55.6,104,23.0,1041,Colts  Colts,445,277,62.2,6.8,2809,18,15,81.8,138,31.0,31,8,74T,31,Colts  Colts,437,1980,4.5,19,13,1,42,117,26.8,10,Colts  Colts,277,3034,11.0,18,31,8,74T,138,49.8,3,153,Colts  Colts,1,0,2,Colts  Colts,188,72,11,6,138,49.8,117,26.8,913,Colts  Colts,19,1174,288,662,Colts  Colts,30,15,1,3,10,Colts  Colts,15,2,244,75T,Colts  Colts,37,37,100.0,0_0,17_17,7_7,12_12,1_1,50,0,Colts  Colts,37,100.0,46,100.0,0,0,Colts  Colts,99,5955,4,4.0,93,21.5,2,1,0,2,Colts  Colts,35.4,2267,63,41.3,55,2646,21,4,9,3,15,32,319,0,1,Colts  Colts,7.7,31,240,0,4,0,26,16,4,0,2003
19,Texans  Texans,439,248,56.5,6.5,2841,14,18,69.7,127,28.9,32,7,78T,36,186,Texans  Texans,421,1651,3.9,14,6,1,51,86,20.4,8,Texans  Texans,248,2841,11.5,14,32,7,78T,127,51.2,4,Texans  Texans,14,14,29,0,Texans  Texans,204,63,14,9,127,51.2,86,20.4,896,Texans  Texans,502,297,59.2,7.6,3712,22,14,86.2,179,35.7,55,10,84T,19,Texans  Texans,533,2370,4.4,15,12,2,64,130,24.4,12,Texans  Texans,297,3835,12.9,22,55,10,84T,179,60.3,1,191,Texans  Texans,0,0,1,Texans  Texans,222,89,14,10,179,60.3,130,24.4,1054,Texans  Texans,36,1059,307,567,Texans  Texans,18,8,0,1,12,Texans  Texans,14,1,205,95T,Texans  Texans,18,22,81.8,1_1,3_3,8_8,6_5,4_1,50,0,Texans  Texans,18,81.8,27,100.0,0,0,Texans  Texans,62,3946,8,12.9,53,21.7,1,0,0,0,Texans  Texans,36.7,3561,97,41.5,58,4028,36,1,13,3,37,43,407,1,0,Texans  Texans,6.7,40,266,0,2,1,40,8,0,1,2003
20,Titans  Titans,502,315,62.7,8.0,4031,30,9,100.3,211,42.0,55,12,73,25,153,Titans  Titans,486,1623,3.3,11,6,0,28,84,17.3,8,Titans  Titans,315,4031,12.8,30,55,12,73,211,67.0,3,Titans  Titans,11,30,48,3,Titans  Titans,211,86,14,6,211,67.0,84,17.3,1013,Titans  Titans,546,332,60.8,7.0,3606,20,21,78.2,167,30.6,43,11,86T,38,Titans  Titans,342,1295,3.8,10,2,1,42,79,23.1,5,Titans  Titans,332,3829,11.5,20,43,11,86T,167,50.3,2,193,Titans  Titans,2,1,3,Titans  Titans,184,51,18,11,167,50.3,79,23.1,926,Titans  Titans,25,1164,290,660,Titans  Titans,20,13,2,2,5,Titans  Titans,21,3,312,60T,Titans  Titans,32,37,86.5,0_0,5_5,14_14,16_12,2_1,50,0,Titans  Titans,32,86.5,43,97.7,0,1,Titans  Titans,94,5452,6,6.4,81,18.8,2,0,4,0,Titans  Titans,37.8,2681,71,43.9,58,3117,26,5,15,8,13,30,276,1,0,Titans  Titans,11.6,37,429,1,4,1,58T,22,2,0,2003
21,Packers  Packers,473,310,65.5,7.1,3377,32,21,90.5,166,35.1,42,7,66T,19,137,Packers  Packers,507,2558,5.0,18,20,7,98T,127,25.0,12,Packers  Packers,310,3377,10.9,32,42,7,66T,166,53.5,1,Packers  Packers,18,32,53,2,Packers  Packers,207,85,7,4,166,53.5,127,25.0,999,Packers  Packers,589,326,55.3,6.1,3400,18,21,69.0,172,29.2,48,8,68T,34,Packers  Packers,413,1701,4.1,10,7,3,67T,91,22.0,9,Packers  Packers,326,3600,11.0,18,48,8,68T,172,52.8,4,242,Packers  Packers,1,0,2,Packers  Packers,228,85,17,4,172,52.8,91,22.0,1036,Packers  Packers,19,1148,275,666,Packers  Packers,20,11,1,4,9,Packers  Packers,21,2,315,90T,Packers  Packers,23,26,88.5,0_0,5_5,11_11,9_6,1_1,50,0,Packers  Packers,23,88.5,51,100.0,0,0,Packers  Packers,92,5393,4,4.3,82,20.8,3,1,5,1,Packers  Packers,34.6,2457,71,41.3,60,2933,17,2,14,8,15,32,316,0,0,Packers  Packers,7.9,35,277,0,2,0,33,18,2,1,2003
22,Lions  Lions,588,319,54.3,5.1,2988,17,24,61.1,152,25.9,26,3,72T,11,64,Lions  Lions,376,1338,3.6,5,8,0,39,69,18.4,7,Lions  Lions,319,2988,9.4,17,26,3,72T,152,47.6,2,Lions  Lions,5,17,29,2,Lions  Lions,228,80,20,8,152,47.6,69,18.4,975,Lions  Lions,522,331,63.4,7.2,3578,26,15,89.6,166,31.8,42,7,73T,28,Lions  Lions,447,1782,4.0,14,8,3,65T,105,23.5,12,Lions  Lions,331,3760,11.4,26,42,7,73T,166,50.2,5,176,Lions  Lions,3,0,1,Lions  Lions,214,87,13,8,166,50.2,105,23.5,997,Lions  Lions,11,942,159,698,Lions  Lions,31,13,3,5,12,Lions  Lions,15,1,130,48T,Lions  Lions,22,23,95.7,0_0,7_7,6_6,6_5,4_4,54,0,Lions  Lions,22,95.7,26,96.3,1,2,Lions  Lions,66,4240,10,15.2,53,24.8,2,0,1,1,Lions  Lions,33.8,3240,95,39.5,58,3790,20,3,10,8,15,59,390,1,1,Lions  Lions,12.3,47,576,2,8,2,89T,13,3,0,2003
23,Broncos  Broncos,479,280,58.5,6.5,3126,19,18,75.6,162,33.8,35,6,72,25,157,Broncos  Broncos,543,2629,4.8,20,22,8,65T,133,24.5,10,Broncos  Broncos,280,3126,11.2,19,35,6,72,162,57.9,0,Broncos  Broncos,20,19,42,1,Broncos  Broncos,211,82,13,3,162,57.9,133,24.5,1047,Broncos  Broncos,495,265,53.5,6.2,2828,17,9,76.2,141,28.5,41,11,66T,36,Broncos  Broncos,379,1605,4.2,11,11,3,98T,77,20.3,14,Broncos  Broncos,265,3049,11.5,17,41,11,66T,141,53.2,2,221,Broncos  Broncos,0,1,1,Broncos  Broncos,207,61,25,12,141,53.2,77,20.3,910,Broncos  Broncos,25,1102,222,746,Broncos  Broncos,25,11,0,2,14,Broncos  Broncos,9,1,39,16,Broncos  Broncos,28,32,87.5,0_0,12_11,6_6,11_9,3_2,51,0,Broncos  Broncos,28,87.5,41,100.0,0,2,Broncos  Broncos,86,5583,13,15.1,73,23.0,0,0,0,0,Broncos  Broncos,32.2,2257,68,42.0,62,2937,14,4,7,6,5,46,560,1,2,Broncos  Broncos,11.3,39,442,2,4,2,65T,18,2,1,2003
24,Cowboys  Cowboys,510,294,57.6,6.6,3347,17,21,71.4,149,29.2,49,7,64,37,185,Cowboys  Cowboys,515,1999,3.9,11,6,3,63T,115,22.3,8,Cowboys  Cowboys,294,3347,11.4,17,49,7,64,149,50.7,3,Cowboys  Cowboys,11,17,31,0,Cowboys  Cowboys,241,88,12,4,149,50.7,115,22.3,1062,Cowboys  Cowboys,492,239,48.6,5.7,2631,18,13,67.6,127,25.8,40,9,76T,32,Cowboys  Cowboys,413,1425,3.5,7,5,1,64T,68,16.5,7,Cowboys  Cowboys,239,2820,11.8,18,40,9,76T,127,53.1,2,240,Cowboys  Cowboys,0,2,2,Cowboys  Cowboys,227,69,15,7,127,53.1,68,16.5,937,Cowboys  Cowboys,37,1089,193,797,Cowboys  Cowboys,24,12,0,2,7,Cowboys  Cowboys,13,2,183,41T,Cowboys  Cowboys,23,29,79.3,0_0,11_11,6_5,7_4,5_3,52,0,Cowboys  Cowboys,23,79.3,30,96.8,1,0,Cowboys  Cowboys,68,4275,2,2.9,66,21.9,0,0,0,0,Cowboys  Cowboys,34.6,3290,95,38.9,59,3697,25,11,15,9,26,34,227,0,0,Cowboys  Cowboys,7.6,51,390,0,3,1,46,24,4,0,2003
25,Browns  Browns,509,313,61.5,6.1,3116,17,18,75.2,153,30.1,25,6,71T,40,282,Browns  Browns,412,1670,4.1,8,7,1,78T,91,22.1,13,Browns  Browns,313,3116,10.0,17,25,6,71T,153,48.9,1,Browns  Browns,8,17,27,0,Browns  Browns,202,74,18,6,153,48.9,91,22.1,961,Browns  Browns,502,297,59.2,6.1,2846,13,15,72.9,160,31.9,27,4,55T,35,Browns  Browns,457,2113,4.6,14,14,6,82T,100,21.9,4,Browns  Browns,297,3049,10.3,13,27,4,55T,160,53.9,2,190,Browns  Browns,0,0,1,Browns  Browns,222,87,13,8,160,53.9,100,21.9,994,Browns  Browns,40,1074,228,650,Browns  Browns,24,7,0,2,4,Browns  Browns,15,1,168,75T,Browns  Browns,23,28,82.1,3_3,7_7,8_5,8_6,2_2,52,0,Browns  Browns,23,82.1,23,95.8,0,0,Browns  Browns,65,3964,3,4.6,60,20.5,1,0,2,0,Browns  Browns,34.7,2532,73,41.8,60,3048,19,9,12,10,9,33,316,0,0,Browns  Browns,8.2,37,302,0,3,0,38,11,3,1,2003
26,Bengals  Bengals,520,324,62.3,6.9,3591,26,15,87.4,181,34.8,37,11,82T,37,249,Bengals  Bengals,481,1987,4.1,12,10,4,54,101,21.0,2,Bengals  Bengals,324,3591,11.1,26,37,11,82T,181,55.9,2,Bengals  Bengals,12,26,40,0,Bengals  Bengals,228,102,11,5,181,55.9,101,21.0,1038,Bengals  Bengals,508,297,58.5,7.1,3402,23,14,83.9,177,34.8,42,9,73T,30,Bengals  Bengals,461,2218,4.8,18,15,3,78T,119,25.8,12,Bengals  Bengals,297,3598,12.1,23,42,9,73T,177,59.6,5,197,Bengals  Bengals,1,0,0,Bengals  Bengals,206,85,14,9,177,59.6,119,25.8,999,Bengals  Bengals,37,1128,278,726,Bengals  Bengals,26,10,1,5,12,Bengals  Bengals,14,0,123,31,Bengals  Bengals,22,25,88.0,0_0,5_5,10_10,8_7,2_0,48,0,Bengals  Bengals,22,88.0,40,100.0,0,1,Bengals  Bengals,77,4792,4,5.2,71,20.7,0,0,2,0,Bengals  Bengals,32.2,2482,77,39.5,58,3045,14,5,10,8,7,47,403,0,0,Bengals  Bengals,11.0,30,331,1,5,1,68T,8,2,0,2003
27,Bears  Bears,515,271,52.6,5.6,2905,12,20,61.0,143,27.8,37,5,61T,43,288,Bears  Bears,443,1763,4.0,13,8,1,67T,104,23.5,10,Bears  Bears,271,2905,10.7,12,37,5,61T,143,52.8,4,Bears  Bears,13,12,29,2,Bears  Bears,228,77,23,15,143,52.8,104,23.5,1001,Bears  Bears,525,326,62.1,6.1,3082,20,15,79.9,156,29.7,32,1,51,18,Bears  Bears,449,1865,4.2,13,13,4,60T,104,23.2,7,Bears  Bears,326,3187,9.8,20,32,1,51,156,47.9,1,184,Bears  Bears,0,0,1,Bears  Bears,213,84,15,6,156,47.9,104,23.2,992,Bears  Bears,43,1018,182,694,Bears  Bears,19,5,0,1,7,Bears  Bears,15,1,191,45T,Bears  Bears,26,36,72.2,1_1,4_4,13_9,14_9,4_3,54,2,Bears  Bears,26,72.2,27,100.0,2,1,Bears  Bears,69,3979,1,1.4,64,21.4,3,1,1,1,Bears  Bears,34.6,2801,79,40.2,53,3258,23,6,15,9,13,36,277,0,2,Bears  Bears,11.8,39,461,1,7,2,60T,13,2,0,2003
